date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:09	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jul%202024%2007:42:09%20GMT	https://leviticatechnologies.com/robots.txt		(from )
13:12:10	24578/24578	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2007:42:09%20GMT	https://leviticatechnologies.com/	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/index.html	(from )
13:12:10	280789/280789	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:08%20GMT	https://leviticatechnologies.com/assets/css/bootstrap.min.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/bootstrap.min.css	(from https://leviticatechnologies.com/)
13:12:10	58129/58129	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:08%20GMT	https://leviticatechnologies.com/assets/css/animate.min.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/animate.min.css	(from https://leviticatechnologies.com/)
13:12:10	1553/1553	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:10%20GMT	https://leviticatechnologies.com/assets/fonts/flaticon.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/fonts/flaticon.css	(from https://leviticatechnologies.com/)
13:12:10	68032/68032	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:08%20GMT	https://leviticatechnologies.com/assets/css/boxicons.min.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/boxicons.min.css	(from https://leviticatechnologies.com/)
13:12:10	3352/3352	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:08%20GMT	https://leviticatechnologies.com/assets/css/owl.carousel.min.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/owl.carousel.min.css	(from https://leviticatechnologies.com/)
13:12:11	1013/1013	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:08%20GMT	https://leviticatechnologies.com/assets/css/owl.theme.default.min.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/owl.theme.default.min.css	(from https://leviticatechnologies.com/)
13:12:11	5236/5236	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:08%20GMT	https://leviticatechnologies.com/assets/css/magnific-popup.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/magnific-popup.css	(from https://leviticatechnologies.com/)
13:12:11	3865/3865	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:08%20GMT	https://leviticatechnologies.com/assets/css/nice-select.min.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/nice-select.min.css	(from https://leviticatechnologies.com/)
13:12:11	5574/5574	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:08%20GMT	https://leviticatechnologies.com/assets/css/meanmenu.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/meanmenu.css	(from https://leviticatechnologies.com/)
13:12:12	139899/139899	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2007:47:37%20GMT	https://leviticatechnologies.com/assets/css/style.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/style.css	(from https://leviticatechnologies.com/)
13:12:12	47385/47385	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2009:42:08%20GMT	https://leviticatechnologies.com/assets/css/responsive.css	C:/Users/naveen.immandi/Downloads/Webpage/leviticatechnologies.com/assets/css/responsive.css	(from https://leviticatechnologies.com/)
